month,continuing_claims_self_employed,entry_self_employed
2020m1,,
2020m2,,
2020m3,,98411.77
2020m4,1543233,1543233
2020m5,8592998,7337742
2020m6,1.38e+07,7133140
2020m7,1.42e+07,2881789
2020m8,1.22e+07,956630.9
2020m9,1.01e+07,281894.4
2020m10,7909532,350651.8
2020m11,7699935,887858.5
2020m12,7270673,657795.9
2021m1,5345121,394829.7
2021m2,5870705,1239061
2021m3,5891189,1213716
2021m4,4589550,285363.3
2021m5,5085554,1345267
2021m6,4290022,145511.9
2021m7,3322613,140709.9
2021m8,3989712,1281924
2021m9,0,0
2021m10,0,0
2021m11,0,0
2021m12,0,0
2022m1,0,0
2022m2,0,0
2022m3,0,0
2022m4,0,0
2022m5,0,0
2022m6,0,0
2022m7,0,0
2022m8,0,0
2022m9,0,0
2022m10,0,0
2022m11,0,0
